PACMAN,xorg,AGrouppackagethatcontainsextraxorg-apps.
PACMAN,xorg-xinit,UsefulForStartingWindowManagersfromaTTY.
#PACMAN,linux-headers,HeadersForKernel.
#PACMAN,linux-lts-headers,HeadersForLTSKernel.
#PACMAN,linux-hardened-headers,HeadersForHardenedKernel.
#PACMAN,linux-zen-headers,HeadersForZENKernel.
#PACMAN,nvidia,NvidiaGraphicsDriver.
#PACMAN,nvidia-dkms,NvidiaComponentforMultipleKernels.
#PACMAN,nvidia-lts,NvidiaLTSGraphicsDriver.
#PACMAN,lib32-nvidia-utils,NvidiaOpenGLLibrary-NeededForGamesandSteam.
#PACMAN,xf86-video-amdgpu,AMDDriver.
#PACMAN,xf86-video-ati,ATIDriver.
#PACMAN,lib32-mesa,AMD/ATIOpenGLLibrary-NeededForGamesandSteam.

PACMAN,mtools,MS-DOSDiskTools.
PACMAN,cronie,RunServicesAtSpecificTimes.
PACMAN,dosfstools,DOSFilesystemUtilities.
PACMAN,os-prober,DetectsotherOSs.
PACMAN,ntfs-3g,MountandinteractwithNTFS(Windows)drives.
PACMAN,wget,FileDownloader.
PACMAN,curl,FileDownloader.
PACMAN,hwinfo,HardwareCLItool.
PACMAN,htop,CLITaskManager.
PACMAN,dmidecode,InterfaceForMemory.
PACMAN,iputils,NetworkTools.
PACMAN,traceroute,PacketRouteTracking.
PACMAN,iproute2,ContainsNetworkTools.
PACMAN,fail2ban,IPBanner.
PACMAN,parted,TerminalPartitioningTool.
PACMAN,hdparm,UsedForGettingDiskSpeeds.
PACMAN,lm_sensors,UsedForGettingTemperatureReadings.
PACMAN,ffmpeg,CLIAudioTool.
PACMAN,mlocate,File/FolderlocationCLITool.
PACMAN,udisks2,StorageDeviceDaemon.
PACMAN,udiskie,AutoMounterWithSupportForLUKS.
PACMAN,bzip2,Unpack.bz2,bz,tbz2,tbzFiles.
PACMAN,gzip,Unpack.gz,.z,.tgz,.tazFiles.
PACMAN,unzip,Unpack.zipfiles.
PACMAN,p7zip,Unpack.7zFiles.
PACMAN,unrar,Unpack.rarFiles.

PACMAN,make,LinuxBuildTool.
PACMAN,cmake,CrossPlatformBuildTool.
PACMAN,git,ProjectManagement.
PACMAN,nasm,Assembler.
PACMAN,gcc,C/C++Compiler.
PACMAN,gdb,C/C++Debugger.
PACMAN,clang,ClangC/C++Compiler.
PACMAN,cppcheck,Compile-timeC++Checker.
PACMAN,nodejs,Node.js.
PACMAN,npm,NodePackageManager.
PACMAN,rust,RustPackage.
PACMAN,ghc,HaskellCompiler.
PACMAN,jdk-openjdk,JavaSDK.
PACMAN,dotnet-sdk,.NETSDK.
PACMAN,mono,MonoForC#.
PACMAN,apache,ApacheHTTPWebServer.
PACMAN,ruby,RubyScriptingLanguage.
PACMAN,ruby-irb,InteractiveRubyShell.
PACMAN,python-pip,Python3PIP.
PACMAN,glfw,OpenGLLibrary.
PACMAN,glew,OpenGLLibrary.

AUR,hardened-malloc-git,AsecureversionofC'smalloc.
PACMAN,openvpn,ForVPNConnections.
PACMAN,ufw,Firewall.
PACMAN,apparmor,SecuritySoftware.
PACMAN,firejail,SandboxingSecuritySoftware.
PACMAN,grub-customizer,GrubConfigurator.
PACMAN,gparted,DiskManagement.

PACMAN,ttf-liberation,FreeCompatibleVersionsLikeArialFonts.
PACMAN,papirus-icon-theme,PapirusIconThemeSet.
PACMAN,ttf-ubuntu-font-family,AddsUbuntuFonts.
PACMAN,ttf-roboto,AddsRobotoFonts.
PACMAN,plank,ADocker.

PACMAN,pulseaudio,AudioController.
PACMAN,pavucontrol,GUIFrontendforPulseAudio.
PACMAN,zsh,AlternativeShelltoBash.
PACMAN,zsh-completions,AutoCompletionsForZSH.
PACMAN,firefox,FirefoxBrowser.
PACMAN,chromium,ChromiumWebBrowser.
PACMAN,discord,Communication.
PACMAN,code,VSCodeEditor.
PACMAN,flameshot,Screenshotsoftware.
PACMAN,neovim,NeoVim-MorepluginSupport.
PACMAN,obs-studio,RecordingandStreaming.
PACMAN,gimp,ImageEditor.
PACMAN,feedreader,RSSReader.
PACMAN,youtube-dl,YoutubeDownloaderCLProgram.
PACMAN,libreoffice-still,OfficeSuite.
PACMAN,virtualbox,VirtualMachine.
#PACMAN,virtualbox-host-modules-arch,VirtualMachineDependencyforstandardkernel.
PACMAN,virtualbox-host-dkms,VirtualMachineDependencyforOtherkernels.

AUR,protonvpn-cli-ng,ProtonVPNCLIClient.
AUR,zeal-git,OfflineDocumentationViewer.
AUR,timeshift,BackupTool.
AUR,bitwarden-bin,PasswordManager.
AUR,breeze-obsidian-cursor-theme,ObsidianCursorTheme.
AUR,gnome-shell-pomodoro,PomodoroTimerforGnome.
AUR,gnome-shell-extension-pop-shell-git,TilingWindowsforGnome.

PIP,PyQt5,PythonwrapperofQTUILibrary.
PIP,selenium,PythonLibraryForWebEngineAutomation.
PIP,numpy,PythsonMathLibrary.
PIP,matplotlib,PythonGraphPlottingLibrary.
PIP,gym,Comparingreinforcementlearningalgorithms.
PIP,opencv-python,LibraryforRealTimeApplications.
PIP,pandas,DataAnaylsisTool.

VSCODE,ms-python.python,PythonLanguage.
VSCODE,ms-vscode.cpptools,C/C++Language.
VSCODE,ms-dotnettools.csharp,C#Language.
VSCODE,twxs.cmake,CMakeSupport.
VSCODE,alefragnani.project-manager,ProjectManager.
VSCODE,miqh.core-theme,CoreThemes.
